AccountID,TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,amount_to_balance_ratio,avg_txn_amount_account,txn_amount_account,mean,std,amount_zscore,diff_btwn_txn_times,avg_time_btwn_txns,amount_to_user_avg,unique_merchant_user,TransactionHour,TransactionDayOfTheWeek,is_night,unique_devices_per_account,unique_ips_per_account,unique_accounts_per_devices,merchant_avg_amount,merchant_amount_deviation,avg_loginAttempts,loginAttemps_excess,TransactionAmount_log
AC00128,14.09,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,0.0027561465589246137,460.6985714285715,7,460.6985714285715,487.96955487094925,-0.9152385983315777,572,562.4285714285714,0.030583988911249683,7,16,1,0,7,7,6,298.0234375,-283.9334375,1.0,0.0,2.7140322727797574
AC00455,376.24,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,0.027345189408172595,304.6228571428572,7,304.6228571428572,240.29788053679576,0.29803485031644467,495,481.0,1.2351010148380197,7,16,1,0,6,7,5,295.00925925925924,81.23074074074077,1.0,0.0,5.932881589675684
AC00019,126.29,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,0.11252283155878293,237.0475,4,237.0475,197.6933481219504,-0.5602489970055918,482,570.75,0.532762421033759,4,18,0,0,4,4,5,350.868,-224.57799999999997,1.0,0.0,4.846467947882343
AC00070,184.5,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,0.021530949719105713,236.48375000000001,8,236.48375000000001,275.157989367018,-0.18892328047455592,548,503.25,0.7801804563738522,8,16,4,0,8,8,6,290.42709677419356,-105.92709677419356,1.375,-0.375,5.22305488204749
AC00411,13.45,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,0.0018103749966349907,280.7966666666667,6,280.7966666666667,310.7290326742364,-0.8603852184837484,384,451.3333333333333,0.047899429005567484,6,17,0,0,6,6,3,287.6629032258064,-274.21290322580643,1.0,0.0,2.670694414558441
AC00393,92.15,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,0.11788711493194147,209.20624999999998,8,209.20624999999998,138.79748391477213,-0.8433600285713951,580,507.25,0.4404744122128283,8,17,0,0,8,7,4,349.35592592592593,-257.20592592592595,1.375,-0.375,4.5342110970475975
AC00199,7.08,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,0.0005316628506590593,7.08,1,7.08,,0.0,627,627.0,1.0,1,16,2,0,1,1,4,210.08133333333336,-203.00133333333335,1.0,0.0,2.089391872533004
AC00069,171.42,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,0.061303750751008496,231.08285714285714,7,231.08285714285714,195.24954969766986,-0.3055723162242416,545,448.57142857142856,0.7418118423818296,7,17,0,0,7,7,2,363.50636363636363,-192.08636363636364,1.0,0.0,5.1499333607817785
AC00135,106.23,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,0.011679864191205414,72.945,2,72.945,47.07209842358847,0.7071067811865477,593,564.0,1.4563026938104053,2,16,1,0,2,2,6,297.85727272727274,-191.62727272727273,1.0,0.0,4.674976060232054
AC00385,815.96,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,0.7984890593807492,591.6,7,591.6,490.3820127546822,0.4575208595838894,583,449.7142857142857,1.3792427315753888,7,16,4,0,7,7,4,323.22620689655173,492.7337931034483,1.0,0.0,6.705590134053119
