AccountID,TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,amount_to_balance_ratio,avg_txn_amount_account,txn_amount_account,mean,std,amount_zscore,diff_btwn_txn_times,avg_time_btwn_txns,amount_to_user_avg,unique_merchant_user,TransactionHour,TransactionDayOfTheWeek,is_night,unique_devices_per_account,unique_ips_per_account,unique_accounts_per_devices,merchant_avg_amount,merchant_amount_deviation,avg_loginAttempts,loginAttemps_excess,TransactionAmount_log,AnomalyFlag,AnomalyScore
AC00331,1045.45,Debit,Baltimore,D000547,199.103.32.145,M036,Online,19,Student,150,1,563.46,1.855411209313882,333.0442857142857,7,333.0442857142857,359.6780676223829,1.9806759944941967,370,451.8571428571428,3.139072023883568,6,16,0,0,7,7,5,361.6628,683.7872,1.4285714285714286,-0.4285714285714286,6.9531587624359865,0,-0.04337781631718579
AC00177,138.54,Credit,Austin,D000022,195.237.152.198,M028,Branch,60,Engineer,93,1,8274.77,0.016742459307026,328.1222222222222,9,328.1222222222222,231.34371548508605,-0.8194829145226724,670,440.44444444444446,0.4222207172124208,9,17,1,0,9,9,4,312.6157575757576,-174.0757575757576,1.0,0.0,4.93835129851109,0,-0.0615989773384254
AC00030,456.93,Credit,Virginia Beach,D000587,214.67.148.245,M006,Branch,28,Engineer,193,1,7284.76,0.0627240979798922,329.96666666666664,9,329.96666666666664,133.2458016224151,0.9528505347816912,404,478.77777777777777,1.384776240024245,9,16,1,0,9,9,3,383.873125,73.05687499999999,1.2222222222222223,-0.2222222222222223,6.126716334005255,0,-0.04912393478130889
AC00205,1294.81,Credit,Washington,D000489,76.0.164.168,M026,Branch,45,Engineer,279,1,9927.75,0.1304233084032132,414.5025,4,414.5025,594.6402666809012,1.480403446126522,328,451.0,3.1237688554351304,4,16,0,0,4,4,5,308.1144444444444,986.6955555555556,1.0,0.0,7.166891261226394,1,0.031042814666829788
AC00277,118.69,Debit,Omaha,D000217,152.140.239.181,M029,Online,33,Doctor,296,1,749.34,0.1583927189259882,441.77,3,441.77,309.801831660176,-1.0428601995949105,629,539.3333333333334,0.268669217013378,3,18,0,0,3,3,5,271.2928,-152.6028,1.0,0.0,4.784905066885279,0,-0.044648032331488396
AC00281,161.38,Credit,Colorado Springs,D000690,71.93.189.160,M019,Online,24,Student,101,1,3900.34,0.0413758800514826,288.0275,4,288.0275,225.32282919920328,-0.5620713198485251,360,494.25,0.5602937219536329,3,16,3,0,4,4,6,210.08133333333336,-48.701333333333366,1.0,0.0,5.089939267434301,0,-0.05847715285630406
AC00136,61.98,Debit,Denver,D000376,20.147.6.179,M038,Online,49,Engineer,44,1,5212.28,0.0118911493626589,485.06625,8,485.06625,335.44262809170726,-1.261277531740336,670,508.875,0.1277763604456092,8,18,1,0,8,7,6,336.8874193548387,-274.9074193548387,1.0,0.0,4.142817215672879,0,-0.05823361400657451
AC00132,10.94,Credit,Philadelphia,D000503,10.191.172.154,M083,ATM,60,Engineer,245,1,1241.99,0.0088084445124356,96.4825,4,96.4825,98.87437698918764,-0.8651634792030544,377,472.75,0.1133884383178296,4,17,0,0,4,4,6,256.1554545454546,-245.21545454545455,1.0,0.0,2.479894107964456,0,-0.025067140909712682
AC00010,838.57,Debit,Phoenix,D000430,115.30.82.168,M040,ATM,41,Doctor,273,1,14576.47,0.0575290176565382,395.5242857142857,7,395.5242857142857,433.6667895538056,1.0216270301480974,496,501.0,2.120147941069177,7,16,0,0,7,7,7,291.16,547.4100000000001,1.0,0.0,6.73288985600748,0,-0.05946778698115773
AC00450,654.48,Debit,Columbus,D000277,148.112.151.27,M047,Branch,19,Student,114,1,6776.41,0.0965821135379943,306.9633333333333,3,306.9633333333333,310.36318375950026,1.1197096977067893,454,491.3333333333333,2.132111327085754,3,16,0,0,3,3,5,314.3939285714286,340.0860714285714,1.0,0.0,6.485367791678024,0,-0.0716627249267287
